+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                              |  ID | Effects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| cyclicmagic:resistance                     | 231 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| cyclicmagic:resistance2                    | 232 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| cyclicmagic:slowfall                       | 221 | PotionEffect:{Potion:[reg:cyclicmagic:potion.slowfall,name:potion.slowfall,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                      |
| cyclicmagic:snow                           | 218 | PotionEffect:{Potion:[reg:cyclicmagic:potion.snow,name:potion.snow,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                              |
| cyclicmagic:swim                           | 223 | PotionEffect:{Potion:[reg:cyclicmagic:potion.swimspeed,name:potion.swimspeed,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| cyclicmagic:swim2                          | 224 | PotionEffect:{Potion:[reg:cyclicmagic:potion.swimspeed,name:potion.swimspeed,isBad:false,isBeneficial:false],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| cyclicmagic:waterwalk                      | 222 | PotionEffect:{Potion:[reg:cyclicmagic:potion.waterwalk,name:potion.waterwalk,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| cyclicmagic:wither                         | 235 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| gravestone-extended:gs_bleeding_type       |  63 | PotionEffect:{Potion:[reg:gravestone-extended:gs_bleeding_potion,name:potion.bleeding.title,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                      |
| gravestone-extended:gs_blindness_type      |  67 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| gravestone-extended:gs_bone_skin_type      |  60 | PotionEffect:{Potion:[reg:gravestone-extended:gs_bone_skin_potion,name:potion.bone_skin.title,isBad:false,isBeneficial:false],amplifier:0,duration:12000,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                  |
| gravestone-extended:gs_burning_type        |  62 | PotionEffect:{Potion:[reg:gravestone-extended:gs_burning_potion,name:potion.burning.title,isBad:true,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                           |
| gravestone-extended:gs_choke_type          |  65 | PotionEffect:{Potion:[reg:gravestone-extended:gs_choke_potion,name:potion.choke.title,isBad:true,isBeneficial:false],amplifier:0,duration:500,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                             |
| gravestone-extended:gs_hunger_type         |  66 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| gravestone-extended:gs_inferno_type        |  64 | PotionEffect:{Potion:[reg:gravestone-extended:gs_inferno_potion,name:potion.inferno.title,isBad:false,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                       |
| gravestone-extended:gs_levitation_type     |  70 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| gravestone-extended:gs_nausea_type         |  68 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| gravestone-extended:gs_purification_type   |  58 | PotionEffect:{Potion:[reg:gravestone-extended:gs_purification_potion,name:potion.purification.title,isBad:false,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                |
| gravestone-extended:gs_recall_type         |  61 | PotionEffect:{Potion:[reg:gravestone-extended:gs_recall_potion,name:potion.recall.title,isBad:false,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                            |
| gravestone-extended:gs_resistance_type     |  69 | PotionEffect:{Potion:[reg:minecraft:resistance,name:effect.resistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| gravestone-extended:gs_rust_type           |  59 | PotionEffect:{Potion:[reg:gravestone-extended:gs_rust_potion,name:potion.rust.title,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| gravestone-extended:wither_type            |  71 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| minecraft:awkward                          |   4 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| minecraft:empty                            |   0 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| minecraft:fire_resistance                  |  12 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                   |
| minecraft:harming                          |  23 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:healing                          |  21 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| minecraft:invisibility                     |   7 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| minecraft:leaping                          |   9 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:long_fire_resistance             |  13 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                   |
| minecraft:long_invisibility                |   8 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| minecraft:long_leaping                     |  10 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:long_night_vision                |   6 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| minecraft:long_poison                      |  26 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| minecraft:long_regeneration                |  29 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| minecraft:long_slowness                    |  18 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| minecraft:long_strength                    |  32 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| minecraft:long_swiftness                   |  15 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:long_water_breathing             |  20 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                   |
| minecraft:long_weakness                    |  35 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                |
| minecraft:luck                             |  36 | PotionEffect:{Potion:[reg:minecraft:luck,name:effect.luck,isBad:false,isBeneficial:true],amplifier:0,duration:6000,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| minecraft:mundane                          |   2 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| minecraft:night_vision                     |   5 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| minecraft:poison                           |  25 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| minecraft:regeneration                     |  28 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| minecraft:slowness                         |  17 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| minecraft:strength                         |  31 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| minecraft:strong_harming                   |  24 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:strong_healing                   |  22 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| minecraft:strong_leaping                   |  11 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:strong_poison                    |  27 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:1,duration:432,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| minecraft:strong_regeneration              |  30 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| minecraft:strong_strength                  |  33 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| minecraft:strong_swiftness                 |  16 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:swiftness                        |  14 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
| minecraft:thick                            |   3 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| minecraft:water                            |   1 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| minecraft:water_breathing                  |  19 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                   |
| minecraft:weakness                         |  34 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                |
| mujmajnkraftsbettersurvival:antiwarp       | 209 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:antiwarp,name:effect.antiwarp,isBad:false,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                             |
| mujmajnkraftsbettersurvival:blindness      | 202 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:300,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| mujmajnkraftsbettersurvival:cure           | 212 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:cure,name:effect.cure,isBad:false,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| mujmajnkraftsbettersurvival:decay          | 204 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| mujmajnkraftsbettersurvival:dispel         | 213 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:dispel,name:effect.dispel,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                     |
| mujmajnkraftsbettersurvival:long_antiwarp  | 210 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:antiwarp,name:effect.antiwarp,isBad:false,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                             |
| mujmajnkraftsbettersurvival:long_blindness | 203 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:800,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| mujmajnkraftsbettersurvival:long_decay     | 205 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:2134,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| mujmajnkraftsbettersurvival:milk           | 211 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:milk,name:effect.milk,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| mujmajnkraftsbettersurvival:strong_decay   | 206 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:1,duration:400,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| mujmajnkraftsbettersurvival:strong_warp    | 208 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:warp,name:effect.warp,isBad:false,isBeneficial:false],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| mujmajnkraftsbettersurvival:warp           | 207 | PotionEffect:{Potion:[reg:mujmajnkraftsbettersurvival:warp,name:effect.warp,isBad:false,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| potioncore:absorption                      |  88 | PotionEffect:{Potion:[reg:minecraft:absorption,name:effect.absorption,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                            |
| potioncore:antidote                        | 189 | PotionEffect:{Potion:[reg:potioncore:antidote,name:effect.antidote,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:archery                         | 195 | PotionEffect:{Potion:[reg:potioncore:archery,name:effect.archery,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:bless                           | 178 | PotionEffect:{Potion:[reg:potioncore:bless,name:effect.bless,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:blindness                       |  80 | PotionEffect:{Potion:[reg:minecraft:blindness,name:effect.blindness,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                               |
| potioncore:broken_armor                    | 180 | PotionEffect:{Potion:[reg:potioncore:broken_armor,name:effect.broken_armor,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                        |
| potioncore:burst                           | 193 | PotionEffect:{Potion:[reg:potioncore:burst,name:effect.burst,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:chance                          | 163 | PotionEffect:{Potion:[reg:potioncore:chance,name:effect.chance,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:climb                           | 143 | PotionEffect:{Potion:[reg:potioncore:climb,name:effect.climb,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:cure                            | 135 | PotionEffect:{Potion:[reg:potioncore:cure,name:effect.cure,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                          |
| potioncore:curse                           | 191 | PotionEffect:{Potion:[reg:potioncore:curse,name:effect.curse,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| potioncore:diamond_skin                    | 126 | PotionEffect:{Potion:[reg:potioncore:diamond_skin,name:effect.diamond_skin,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                       |
| potioncore:disorganization                 | 142 | PotionEffect:{Potion:[reg:potioncore:disorganization,name:effect.disorganization,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                    |
| potioncore:dispel                          | 171 | PotionEffect:{Potion:[reg:potioncore:dispel,name:effect.dispel,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:drown                           | 139 | PotionEffect:{Potion:[reg:potioncore:drown,name:effect.drown,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:explode                         | 153 | PotionEffect:{Potion:[reg:potioncore:explode,name:effect.explode,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                    |
| potioncore:extension                       | 112 | PotionEffect:{Potion:[reg:potioncore:extension,name:effect.extension,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:fire                            | 157 | PotionEffect:{Potion:[reg:potioncore:fire,name:effect.fire,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                          |
| potioncore:flight                          | 110 | PotionEffect:{Potion:[reg:potioncore:flight,name:effect.flight,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:glowing                         |  91 | PotionEffect:{Potion:[reg:minecraft:glowing,name:effect.glowing,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                 |
| potioncore:haste                           |  93 | PotionEffect:{Potion:[reg:minecraft:haste,name:effect.digSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                   |
| potioncore:health_boost                    |  99 | PotionEffect:{Potion:[reg:minecraft:health_boost,name:effect.healthBoost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                         |
| potioncore:hunger                          |  77 | PotionEffect:{Potion:[reg:minecraft:hunger,name:effect.hunger,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| potioncore:invert                          | 165 | PotionEffect:{Potion:[reg:potioncore:invert,name:effect.invert,isBad:true,isBeneficial:false],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                      |
| potioncore:iron_skin                       | 118 | PotionEffect:{Potion:[reg:potioncore:iron_skin,name:effect.iron_skin,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                             |
| potioncore:klutz                           | 175 | PotionEffect:{Potion:[reg:potioncore:klutz,name:effect.klutz,isBad:true,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
