+----------------------------+-------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+----------------------------+-------------------------------------------------+---------+----------+---------+-----------+------------------------------------------------------+--------+-------------------------------------------------------------------------+
| Mod name                   | Registry name                                   | BlockID | Subtypes | Item ID | Item meta | Display name                                         | Exists | Ore Dict keys                                                           |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         1 | Spruce Armor Stand                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         2 | Birch Armor Stand                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         3 | Jungle Armor Stand                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         4 | Acacia Armor Stand                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         5 | Dark Oak Armor Stand                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:armorstand                          |     798 |     true |    5168 |         6 | Framed Armor Stand                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:bell                                |     799 |    false |    5169 |         0 | Desk Bell                                            | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         0 | Oak Bookcase                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         1 | Spruce Bookcase                                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         2 | Birch Bookcase                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         3 | Jungle Bookcase                                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         4 | Acacia Bookcase                                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         5 | Dark Oak Bookcase                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcase                            |     772 |     true |    5142 |         6 | Framed Bookcase                                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         0 | Oak Creative Bookcase                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         1 | Spruce Creative Bookcase                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         2 | Birch Creative Bookcase                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         3 | Jungle Creative Bookcase                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         4 | Acacia Creative Bookcase                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         5 | Dark Oak Creative Bookcase                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:bookcasecreative                    |     773 |     true |    5143 |         6 | Framed Creative Bookcase                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         0 | Oak Case                                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         1 | Spruce Case                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         2 | Birch Case                                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         3 | Jungle Case                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         4 | Acacia Case                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         5 | Dark Oak Case                                        | true   |                                                                         |
| BiblioCraft                | bibliocraft:case                                |     788 |     true |    5158 |         6 | Framed Case                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:clipboard                           |     776 |    false |    5146 |         0 | tile.BiblioCraft:Clipboard.name                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         0 | Oak Clock                                            | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         1 | Spruce Clock                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         2 | Birch Clock                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         3 | Jungle Clock                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         4 | Acacia Clock                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         5 | Dark Oak Clock                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:clock                               |     787 |     true |    5157 |         6 | Framed Clock                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:cookiejar                           |     802 |    false |    5172 |         0 | Cookie Jar                                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         0 | Oak Desk                                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         1 | Spruce Desk                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         2 | Birch Desk                                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         3 | Jungle Desk                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         4 | Acacia Desk                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         5 | Dark Oak Desk                                        | true   |                                                                         |
| BiblioCraft                | bibliocraft:desk                                |     784 |     true |    5154 |         6 | Framed Desk                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:dinnerplate                         |     803 |    false |    5173 |         0 | Dinner Plate                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         0 | Oak Fancy Sign                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         1 | Spruce Fancy Sign                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         2 | Birch Fancy Sign                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         3 | Jungle Fancy Sign                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         4 | Acacia Fancy Sign                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         5 | Dark Oak Fancy Sign                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancysign                           |     779 |     true |    5149 |         6 | Framed Fancy Sign                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         0 | Oak Fancy Workbench                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         1 | Spruce Fancy Workbench                               | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         2 | Birch Fancy Workbench                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         3 | Jungle Fancy Workbench                               | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         4 | Acacia Fancy Workbench                               | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         5 | Dark Oak Workbench                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:fancyworkbench                      |     780 |     true |    5150 |         6 | Framed Fancy Workbench                               | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         0 | Oak Framed Chest                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         1 | Spruce Framed Chest                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         2 | Birch Framed Chest                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         3 | Jungle Framed Chest                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         4 | Acacia Framed Chest                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         5 | Dark Oak Framed Chest                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:framedchest                         |     778 |     true |    5148 |         6 | Framed Framed Chest                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         0 | Oak Furniture Paneler                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         1 | Spruce Furniture Paneler                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         2 | Birch Furniture Paneler                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         3 | Jungle Furniture Paneler                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         4 | Acacia Furniture Paneler                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         5 | Dark Oak Furniture Paneler                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:furniturepaneler                    |     777 |     true |    5147 |         6 | Framed Furniture Paneler                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         0 | Oak Wood Label                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         1 | Spruce Wood Label                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         2 | Birch Wood Label                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         3 | Jungle Wood Label                                    | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         4 | Acacia Label                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         5 | Dark Oak Label                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:label                               |     783 |     true |    5153 |         6 | Framed Label                                         | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         0 | Oak Map Frame                                        | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         1 | Spruce Map Frame                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         2 | Birch Map Frame                                      | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         3 | Jungle Map Frame                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         4 | Acacia Map Frame                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         5 | Dark Oak Map Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:mapframe                            |     789 |     true |    5159 |         6 | Framed Map Frame                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:markerpole                          |     775 |    false |    5145 |         0 | tile.BiblioCraft:MarkerPole.name                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         0 | Oak Painting Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         1 | Spruce Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         2 | Birch Painting Frame                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         3 | Jungle Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         4 | Acacia Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         5 | Dark Oak Painting Frame                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeborderless             |     794 |     true |    5164 |         6 | Framed Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         0 | Oak Painting Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         1 | Spruce Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         2 | Birch Painting Frame                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         3 | Jungle Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         4 | Acacia Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         5 | Dark Oak Painting Frame                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframefancy                  |     793 |     true |    5163 |         6 | Framed Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         0 | Oak Painting Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         1 | Spruce Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         2 | Birch Painting Frame                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         3 | Jungle Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         4 | Acacia Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         5 | Dark Oak Painting Frame                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframeflat                   |     790 |     true |    5160 |         6 | Framed Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         0 | Oak Painting Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         1 | Spruce Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         2 | Birch Painting Frame                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         3 | Jungle Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         4 | Acacia Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         5 | Dark Oak Painting Frame                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframemiddle                 |     792 |     true |    5162 |         6 | Framed Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         0 | Oak Painting Frame                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         1 | Spruce Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         2 | Birch Painting Frame                                 | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         3 | Jungle Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         4 | Acacia Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         5 | Dark Oak Painting Frame                              | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingframesimple                 |     791 |     true |    5161 |         6 | Framed Painting Frame                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:paintingpress                       |     795 |    false |    5165 |         0 | Painting Press                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         0 | Oak Potion Shelf                                     | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         1 | Spruce Potion Shelf                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         2 | Birch Potion Shelf                                   | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         3 | Jungle Potion Shelf                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         4 | Acacia Potion Shelf                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         5 | Dark Oak Potion Shelf                                | true   |                                                                         |
| BiblioCraft                | bibliocraft:potionshelf                         |     781 |     true |    5151 |         6 | Framed Potion Shelf                                  | true   |                                                                         |
| BiblioCraft                | bibliocraft:printingpress                       |     801 |    false |    5171 |         0 | Printing Press                                       | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         0 | Oak Seat                                             | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         1 | Spruce Seat                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         2 | Birch Seat                                           | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         3 | Jungle Seat                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         4 | Acacia Seat                                          | true   |                                                                         |
| BiblioCraft                | bibliocraft:seat                                |     786 |     true |    5156 |         5 | Dark Oak Seat                                        | true   |                                                                         |
