+----------------------------+-------------------------------------------------+--------------------------------------------+--------------------------------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                                                         |
| of the Block class in question. The actual final values may be different                                                                                               |
| for different states of the block, or they may depend on a TileEntity etc.                                                                                             |
+----------------------------+-------------------------------------------------+--------------------------------------------+--------------------------------------------+
| Mod name                   | Registry name                                   |                                   Hardness |                                 Resistance |
| Charm                      | charm:cake_haste                                |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_invisibility                         |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_leaping                              |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_night_vision                         |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_regeneration                         |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_resilience                           |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_resistance                           |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_strength                             |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_swiftness                            |                                       0.00 |                                       0.00 |
| Charm                      | charm:cake_water_breathing                      |                                       0.00 |                                       0.00 |
| Charm                      | charm:composter                                 |                                       2.00 |                                      10.00 |
| Charm                      | charm:crate                                     |                                       2.00 |                                      30.00 |
| Charm                      | charm:crate_sealed                              |                                       2.00 |                                      30.00 |
| Charm                      | charm:ender_pearl_block                         |                                       2.00 |                                      10.00 |
| Charm                      | charm:gold_lantern                              |                                       3.50 |                                      12.00 |
| Charm                      | charm:gunpowder_block                           |                                       0.50 |                                       2.50 |
| Charm                      | charm:iron_lantern                              |                                       3.50 |                                      12.00 |
| Charm                      | charm:nether_gold_deposit                       |                                       3.00 |                                      30.00 |
| Charm                      | charm:redstone_sand                             |                                       0.50 |                                       2.50 |
| Charm                      | charm:rotten_flesh_block                        |                                       1.00 |                                       9.00 |
| Charm                      | charm:rune_portal                               |                                      -1.00 |                                18000000.00 |
| Charm                      | charm:rune_portal_frame                         |                                      -1.00 |                                18000000.00 |
| Charm                      | charm:smooth_glowstone                          |                                       0.30 |                                       1.50 |
| Charm                      | charm:variable_redstone_lamp                    |                                       0.30 |                                       1.50 |
| Chisel                     | chisel:andesite                                 |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:andesite1                                |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:andesite2                                |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:antiblock                                |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:arcane_stone                             |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:arcane_stone1                            |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:arcane_stone2                            |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:auto_chisel                              |                                       2.50 |                                      12.50 |
| Chisel                     | chisel:basalt                                   |                                       1.50 |                                      30.00 |
| Chisel                     | chisel:basalt1                                  |                                       1.50 |                                      30.00 |
| Chisel                     | chisel:basalt2                                  |                                       1.50 |                                      30.00 |
| Chisel                     | chisel:block_charcoal                           |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_charcoal1                          |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_charcoal2                          |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal                               |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal1                              |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal2                              |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal_coke                          |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal_coke1                         |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:block_coal_coke2                         |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:blockaluminum                            |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:blockbronze                              |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockcobalt                              |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockcopper                              |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockelectrum                            |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockgold                                |                                       3.00 |                                      30.00 |
| Chisel                     | chisel:blockinvar                               |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockiron                                |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blocklead                                |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blocknickel                              |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blockplatinum                            |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:blocksilver                              |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:blocksteel                               |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:blocktin                                 |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:blockuranium                             |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:bookshelf_acacia                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bookshelf_birch                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bookshelf_darkoak                        |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bookshelf_jungle                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bookshelf_oak                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bookshelf_spruce                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:bricks                                   |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:bricks1                                  |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:bricks2                                  |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:brownstone                               |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:carpet_black                             |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_blue                              |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_brown                             |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_cyan                              |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_gray                              |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_green                             |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_lightblue                         |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_lightgray                         |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_lime                              |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_magenta                           |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_orange                            |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_pink                              |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_purple                            |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_red                               |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_white                             |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:carpet_yellow                            |                                       0.10 |                                       5.00 |
| Chisel                     | chisel:cloud                                    |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:cobblestone                              |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:cobblestone1                             |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:cobblestone2                             |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:cobblestonemossy                         |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:cobblestonemossy1                        |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:cobblestonemossy2                        |                                       2.00 |                                      30.00 |
| Chisel                     | chisel:concrete_black                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_black1                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_black2                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_blue                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_blue1                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_blue2                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_brown                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_brown1                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_brown2                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_cyan                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_cyan1                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_cyan2                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_gray                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_gray1                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_gray2                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_green                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_green1                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_green2                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightblue                       |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightblue1                      |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightblue2                      |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightgray                       |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightgray1                      |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lightgray2                      |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lime                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lime1                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_lime2                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_magenta                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_magenta1                        |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_magenta2                        |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_orange                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_orange1                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_orange2                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_pink                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_pink1                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_pink2                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_purple                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_purple1                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_purple2                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_red                             |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_red1                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_red2                            |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_white                           |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_white1                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_white2                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_yellow                          |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_yellow1                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:concrete_yellow2                         |                                       1.50 |                                       7.50 |
| Chisel                     | chisel:diamond                                  |                                       5.00 |                                      25.00 |
| Chisel                     | chisel:diorite                                  |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:diorite1                                 |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:diorite2                                 |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:dirt                                     |                                       0.50 |                                       5.00 |
| Chisel                     | chisel:emerald                                  |                                       5.00 |                                      30.00 |
| Chisel                     | chisel:endstone                                 |                                       3.00 |                                      45.00 |
| Chisel                     | chisel:endstone1                                |                                       3.00 |                                      45.00 |
| Chisel                     | chisel:endstone2                                |                                       3.00 |                                      45.00 |
| Chisel                     | chisel:energizedvoidstone                       |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:factory                                  |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:factory1                                 |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:futura                                   |                                       1.00 |                                       5.00 |
| Chisel                     | chisel:glass                                    |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glass1                                   |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedblack                           |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedblue                            |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedbrown                           |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedcyan                            |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedgray                            |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedgreen                           |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedlightblue                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedlightgray                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedlime                            |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedmagenta                         |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedorange                          |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedpink                            |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedpurple                          |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedred                             |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedwhite                           |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glassdyedyellow                          |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspane                                |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspane1                               |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedblack                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedblue                        |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedbrown                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedcyan                        |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedgray                        |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedgreen                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedlightblue                   |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedlightgray                   |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedlime                        |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedmagenta                     |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedorange                      |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedpink                        |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedpurple                      |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedred                         |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedwhite                       |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glasspanedyedyellow                      |                                       0.30 |                                       5.00 |
| Chisel                     | chisel:glowstone                                |                                       0.30 |                                       4.50 |
| Chisel                     | chisel:glowstone1                               |                                       0.30 |                                       4.50 |
| Chisel                     | chisel:glowstone2                               |                                       0.30 |                                       4.50 |
| Chisel                     | chisel:gold                                     |                                       3.00 |                                      30.00 |
| Chisel                     | chisel:granite                                  |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:granite1                                 |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:granite2                                 |                                       1.50 |                                      90.00 |
| Chisel                     | chisel:hardenedclay                             |                                       1.25 |                                      21.00 |
| Chisel                     | chisel:hardenedclay1                            |                                       1.25 |                                      21.00 |
| Chisel                     | chisel:hardenedclay2                            |                                       1.25 |                                      21.00 |
| Chisel                     | chisel:ice                                      |                                       0.50 |                                       5.00 |
