+---------------------------+-----------------------------------------------+-------------------------------------+------+
| Mod name                  | Registry name                                 | Entity class name                   |   ID |
| Animania                  | animania:chick_rhode_island_red               | EntityChickRhodeIslandRed           |   35 |
| Animania                  | animania:chick_wyandotte                      | EntityChickWyandotte                |   38 |
| Animania                  | animania:cow_angus                            | EntityCowAngus                      |   42 |
| Animania                  | animania:cow_friesian                         | EntityCowFriesian                   |   45 |
| Animania                  | animania:cow_hereford                         | EntityCowHereford                   |   48 |
| Animania                  | animania:cow_highland                         | EntityCowHighland                   |   57 |
| Animania                  | animania:cow_holstein                         | EntityCowHolstein                   |   51 |
| Animania                  | animania:cow_jersey                           | EntityCowJersey                     |   60 |
| Animania                  | animania:cow_longhorn                         | EntityCowLonghorn                   |   54 |
| Animania                  | animania:cow_mooshroom                        | EntityCowMooshroom                  |   63 |
| Animania                  | animania:dartfrog                             | EntityDartFrogs                     |   67 |
| Animania                  | animania:doe_alpine                           | EntityDoeAlpine                     |   70 |
| Animania                  | animania:doe_angora                           | EntityDoeAngora                     |   73 |
| Animania                  | animania:doe_chinchilla                       | EntityRabbitDoeChinchilla           |  111 |
| Animania                  | animania:doe_cottontail                       | EntityRabbitDoeCottontail           |  108 |
| Animania                  | animania:doe_dutch                            | EntityRabbitDoeDutch                |  114 |
| Animania                  | animania:doe_fainting                         | EntityDoeFainting                   |   76 |
| Animania                  | animania:doe_havana                           | EntityRabbitDoeHavana               |  117 |
| Animania                  | animania:doe_jack                             | EntityRabbitDoeJack                 |  120 |
| Animania                  | animania:doe_kiko                             | EntityDoeKiko                       |   79 |
| Animania                  | animania:doe_kinder                           | EntityDoeKinder                     |   82 |
| Animania                  | animania:doe_lop                              | EntityRabbitDoeLop                  |  129 |
| Animania                  | animania:doe_new_zealand                      | EntityRabbitDoeNewZealand           |  123 |
| Animania                  | animania:doe_nigerian_dwarf                   | EntityDoeNigerianDwarf              |   85 |
| Animania                  | animania:doe_pygmy                            | EntityDoePygmy                      |   88 |
| Animania                  | animania:doe_rex                              | EntityRabbitDoeRex                  |  126 |
| Animania                  | animania:ewe_dorper                           | EntityEweDorper                     |   96 |
| Animania                  | animania:ewe_dorset                           | EntityEweDorset                     |   99 |
| Animania                  | animania:ewe_friesian                         | EntityEweFriesian                   |   90 |
| Animania                  | animania:ewe_jacob                            | EntityEweJacob                      |  105 |
| Animania                  | animania:ewe_merino                           | EntityEweMerino                     |  102 |
| Animania                  | animania:ewe_suffolk                          | EntityEweSuffolk                    |   93 |
| Animania                  | animania:ferret_grey                          | EntityFerretGrey                    |    4 |
| Animania                  | animania:ferret_white                         | EntityFerretWhite                   |    5 |
| Animania                  | animania:foal_draft                           | EntityFoalDraftHorse                |    2 |
| Animania                  | animania:frog                                 | EntityFrogs                         |   66 |
| Animania                  | animania:hamster                              | EntityHamster                       |    3 |
| Animania                  | animania:hedgehog                             | EntityHedgehog                      |    6 |
| Animania                  | animania:hedgehog_albino                      | EntityHedgehogAlbino                |    7 |
| Animania                  | animania:hen_leghorn                          | EntityHenLeghorn                    |   27 |
| Animania                  | animania:hen_orpington                        | EntityHenOrpington                  |   30 |
| Animania                  | animania:hen_plymouth_rock                    | EntityHenPlymouthRock               |   33 |
| Animania                  | animania:hen_rhode_island_red                 | EntityHenRhodeIslandRed             |   36 |
| Animania                  | animania:hen_wyandotte                        | EntityHenWyandotte                  |   39 |
| Animania                  | animania:hog_duroc                            | EntityHogDuroc                      |   25 |
| Animania                  | animania:hog_hampshire                        | EntityHogHampshire                  |   22 |
| Animania                  | animania:hog_large_black                      | EntityHogLargeBlack                 |   16 |
| Animania                  | animania:hog_large_white                      | EntityHogLargeWhite                 |   19 |
| Animania                  | animania:hog_old_spot                         | EntityHogOldSpot                    |   13 |
| Animania                  | animania:hog_yorkshire                        | EntityHogYorkshire                  |   10 |
| Animania                  | animania:kid_alpine                           | EntityKidAlpine                     |   68 |
| Animania                  | animania:kid_angora                           | EntityKidAngora                     |   71 |
| Animania                  | animania:kid_fainting                         | EntityKidFainting                   |   74 |
| Animania                  | animania:kid_kiko                             | EntityKidKiko                       |   77 |
| Animania                  | animania:kid_kinder                           | EntityKidKinder                     |   80 |
| Animania                  | animania:kid_nigerian_dwarf                   | EntityKidNigerianDwarf              |   83 |
| Animania                  | animania:kid_pygmy                            | EntityKidPygmy                      |   86 |
| Animania                  | animania:kit_chinchilla                       | EntityRabbitKitChinchilla           |  112 |
| Animania                  | animania:kit_cottontail                       | EntityRabbitKitCottontail           |  109 |
| Animania                  | animania:kit_dutch                            | EntityRabbitKitDutch                |  115 |
| Animania                  | animania:kit_havana                           | EntityRabbitKitHavana               |  118 |
| Animania                  | animania:kit_jack                             | EntityRabbitKitJack                 |  121 |
| Animania                  | animania:kit_lop                              | EntityRabbitKitLop                  |  130 |
| Animania                  | animania:kit_new_zealand                      | EntityRabbitKitNewZealand           |  124 |
| Animania                  | animania:kit_rex                              | EntityRabbitKitRex                  |  127 |
| Animania                  | animania:lamb_dorper                          | EntityLambDorper                    |   95 |
| Animania                  | animania:lamb_dorset                          | EntityLambDorset                    |   98 |
| Animania                  | animania:lamb_friesian                        | EntityLambFriesian                  |   89 |
| Animania                  | animania:lamb_jacob                           | EntityLambJacob                     |  104 |
| Animania                  | animania:lamb_merino                          | EntityLambMerino                    |  101 |
| Animania                  | animania:lamb_suffolk                         | EntityLambSuffolk                   |   92 |
| Animania                  | animania:mare_draft                           | EntityMareDraftHorse                |    0 |
| Animania                  | animania:peachick_blue                        | EntityPeachickBlue                  |  146 |
| Animania                  | animania:peachick_charcoal                    | EntityPeachickCharcoal              |  131 |
| Animania                  | animania:peachick_opal                        | EntityPeachickOpal                  |  134 |
| Animania                  | animania:peachick_peach                       | EntityPeachickPeach                 |  137 |
| Animania                  | animania:peachick_purple                      | EntityPeachickPurple                |  140 |
| Animania                  | animania:peachick_taupe                       | EntityPeachickTaupe                 |  143 |
| Animania                  | animania:peachick_white                       | EntityPeachickWhite                 |  149 |
| Animania                  | animania:peacock_blue                         | EntityPeacockBlue                   |  148 |
| Animania                  | animania:peacock_charcoal                     | EntityPeacockCharcoal               |  133 |
| Animania                  | animania:peacock_opal                         | EntityPeacockOpal                   |  136 |
| Animania                  | animania:peacock_peach                        | EntityPeacockPeach                  |  139 |
| Animania                  | animania:peacock_purple                       | EntityPeacockPurple                 |  142 |
| Animania                  | animania:peacock_taupe                        | EntityPeacockTaupe                  |  145 |
| Animania                  | animania:peacock_white                        | EntityPeacockWhite                  |  151 |
| Animania                  | animania:peahen_blue                          | EntityPeafowlBlue                   |  147 |
| Animania                  | animania:peahen_charcoal                      | EntityPeafowlCharcoal               |  132 |
| Animania                  | animania:peahen_opal                          | EntityPeafowlOpal                   |  135 |
| Animania                  | animania:peahen_peach                         | EntityPeafowlPeach                  |  138 |
| Animania                  | animania:peahen_purple                        | EntityPeafowlPurple                 |  141 |
| Animania                  | animania:peahen_taupe                         | EntityPeafowlTaupe                  |  144 |
| Animania                  | animania:peahen_white                         | EntityPeafowlWhite                  |  150 |
| Animania                  | animania:piglet_duroc                         | EntityPigletDuroc                   |   23 |
| Animania                  | animania:piglet_hampshire                     | EntityPigletHampshire               |   20 |
| Animania                  | animania:piglet_large_black                   | EntityPigletLargeBlack              |   14 |
| Animania                  | animania:piglet_large_white                   | EntityPigletLargeWhite              |   17 |
| Animania                  | animania:piglet_old_spot                      | EntityPigletOldSpot                 |   11 |
| Animania                  | animania:piglet_yorkshire                     | EntityPigletYorkshire               |    8 |
| Animania                  | animania:ram_dorper                           | EntityRamDorper                     |   97 |
| Animania                  | animania:ram_dorset                           | EntityRamDorset                     |  100 |
| Animania                  | animania:ram_friesian                         | EntityRamFriesian                   |   91 |
| Animania                  | animania:ram_jacob                            | EntityRamJacob                      |  106 |
| Animania                  | animania:ram_merino                           | EntityRamMerino                     |  103 |
| Animania                  | animania:ram_suffolk                          | EntityRamSuffolk                    |   94 |
| Animania                  | animania:rooster_leghorn                      | EntityRoosterLeghorn                |   28 |
| Animania                  | animania:rooster_orpington                    | EntityRoosterOrpington              |   31 |
| Animania                  | animania:rooster_plymouth_rock                | EntityRoosterPlymouthRock           |   34 |
| Animania                  | animania:rooster_rhode_island_red             | EntityRoosterRhodeIslandRed         |   37 |
| Animania                  | animania:rooster_wyandotte                    | EntityRoosterWyandotte              |   40 |
| Animania                  | animania:sow_duroc                            | EntitySowDuroc                      |   24 |
| Animania                  | animania:sow_hampshire                        | EntitySowHampshire                  |   21 |
| Animania                  | animania:sow_large_black                      | EntitySowLargeBlack                 |   15 |
| Animania                  | animania:sow_large_white                      | EntitySowLargeWhite                 |   18 |
| Animania                  | animania:sow_old_spot                         | EntitySowOldSpot                    |   12 |
| Animania                  | animania:sow_yorkshire                        | EntitySowYorkshire                  |    9 |
| Animania                  | animania:stallion_draft                       | EntityStallionDraftHorse            |    1 |
| Animania                  | animania:tiller                               | EntityTiller                        |  154 |
| Animania                  | animania:toad                                 | EntityToad                          |   65 |
| Animania                  | animania:wagon                                | EntityWagon                         |  152 |
| Aquaculture               | aquaculture:custom_fish_hook                  | EntityCustomFishHook                |    0 |
| Battle Towers             | battletowers:golem                            | AS_EntityGolem                      |    1 |
| Battle Towers             | battletowers:golemfireball                    | AS_EntityGolemFireball              |    2 |
| Better Survival           | mujmajnkraftsbettersurvival:entityflyingspear | EntityFlyingSpear                   |    0 |
| BiblioCraft               | bibliocraft:biblioseat                        | EntitySeat                          |    0 |
| Bountiful Baubles         | bountifulbaubles:bee                          | EntityBee                           |    2 |
| Bountiful Baubles         | bountifulbaubles:beenade                      | EntityBeenade                       |    1 |
| Bountiful Baubles         | bountifulbaubles:flare                        | EntityFlare                         |    3 |
| Bountiful Baubles         | bountifulbaubles:grenade                      | EntityGrenade                       |    0 |
| Charm                     | charm:charged_emerald                         | EntityChargedEmerald                |    1 |
| Charm                     | charm:endermite_powder                        | EntityEndermitePowder               |    0 |
| Charm                     | charm:spectre                                 | EntitySpectre                       |    2 |
| Chococraft 3              | chococraft:chocobo                            | EntityChocobo                       |    0 |
| Clumps                    | clumps:xp_orb_big                             | EntityXPOrbBig                      |    0 |
| Comforts                  | comforts:_entity_rest                         | EntityRest                          |    1 |
| ComputerCraft             | computercraft:turtle_player                   | TurtlePlayer                        |    0 |
| CreativeCore              | creativecore:sit                              | EntitySit                           |    0 |
| Cyclic                    | cyclicmagic:blazebolt                         | EntityBlazeBolt                     | 1102 |
| Cyclic                    | cyclicmagic:boomerang                         | EntityBoomerang                     | 1112 |
| Cyclic                    | cyclicmagic:ender_eye_orb                     | EntityEnderEyeUnbreakable           | 1103 |
| Cyclic                    | cyclicmagic:firecannon                        | EntityGolemLaser                    | 1031 |
| Cyclic                    | cyclicmagic:frostbolt                         | EntitySnowballBolt                  | 1110 |
| Cyclic                    | cyclicmagic:lightningbolt                     | EntityLightningballBolt             | 1105 |
| Cyclic                    | cyclicmagic:magic_missile                     | EntityHomingProjectile              | 1111 |
| Cyclic                    | cyclicmagic:magicnetempty                     | EntityMagicNetEmpty                 | 1109 |
| Cyclic                    | cyclicmagic:magicnetfull                      | EntityMagicNetFull                  | 1108 |
| Cyclic                    | cyclicmagic:robot                             | EntityRobot                         | 1030 |
| Cyclic                    | cyclicmagic:slingshot_bullet                  | EntitySlingshot                     | 1113 |
| Cyclic                    | cyclicmagic:tntblocksafebolt                  | EntityDynamiteBlockSafe             | 1100 |
| Cyclic                    | cyclicmagic:tntbolt                           | EntityDynamite                      | 1106 |
| Cyclic                    | cyclicmagic:tntminingbolt                     | EntityDynamiteMining                | 1101 |
| Cyclic                    | cyclicmagic:torchbolt                         | EntityTorchBolt                     | 1104 |
| Cyclic                    | cyclicmagic:woolbolt                          | EntityShearingBolt                  | 1107 |
| Defiled Lands             | defiledlands:blastem_fruit                    | EntityBlastemFruit                  |    9 |
| Defiled Lands             | defiledlands:blastem_fruit_blazing            | EntityBlastemFruitBlazing           |   10 |
| Defiled Lands             | defiledlands:book_wyrm                        | EntityBookWyrm                      |    6 |
| Defiled Lands             | defiledlands:host                             | EntityHost                          |    4 |
| Defiled Lands             | defiledlands:ravager_projectile               | EntityRavagerProjectile             |   11 |
| Defiled Lands             | defiledlands:scuttler                         | EntityScuttler                      |    3 |
| Defiled Lands             | defiledlands:shambler                         | EntityShambler                      |    1 |
| Defiled Lands             | defiledlands:shambler_twisted                 | EntityShamblerTwisted               |    2 |
| Defiled Lands             | defiledlands:slime_defiled                    | EntitySlimeDefiled                  |    5 |
| Defiled Lands             | defiledlands:the_destroyer                    | EntityDestroyer                     |    7 |
| Defiled Lands             | defiledlands:the_mourner                      | EntityMourner                       |    8 |
| Dimensional Doors         | dimdoors:mob_monolith                         | EntityMonolith                      |    0 |
| DungeonTactics            | dungeontactics:attacken                       | DTEntityCucco                       |    3 |
| DungeonTactics            | dungeontactics:bone_wolf                      | DTEntityCompanion                   |    2 |
| DungeonTactics            | dungeontactics:bullet_entity                  | DTEntityBullet                      |    9 |
| DungeonTactics            | dungeontactics:cryobomb_entity                | DTEntityCryoBomb                    |   13 |
| DungeonTactics            | dungeontactics:cushion_entity                 | DTCushionEntity                     |    4 |
| DungeonTactics            | dungeontactics:fragbomb_entity                | DTEntityFragBomb                    |   10 |
| DungeonTactics            | dungeontactics:goldnugget_entity              | DTEntityGoldNugget                  |    7 |
| DungeonTactics            | dungeontactics:portingbomb_entity             | DTEntityPortBomb                    |   12 |
| DungeonTactics            | dungeontactics:powderkeg_entity               | DTPowderKegEntity                   |    5 |
| DungeonTactics            | dungeontactics:pyrobomb_entity                | DTEntityPyroBomb                    |   11 |
| DungeonTactics            | dungeontactics:slingshotammo_entity           | DTEntitySlingshotAmmo               |    6 |
| DungeonTactics            | dungeontactics:throwingknife_entity           | DTEntityThrowingKnife               |    8 |
| DungeonTactics            | dungeontactics:towerguardian                  | DTEntityTowerGuardian               |    1 |
| Dynamic Trees             | dynamictrees:falling_tree                     | EntityFallingTree                   |    0 |
| Electroblob's Wizardry    | ebwizardry:arrow_rain                         | EntityArrowRain                     |   55 |
| Electroblob's Wizardry    | ebwizardry:black_hole                         | EntityBlackHole                     |   45 |
| Electroblob's Wizardry    | ebwizardry:blaze_minion                       | EntityBlazeMinion                   |    5 |
| Electroblob's Wizardry    | ebwizardry:blizzard                           | EntityBlizzard                      |   46 |
| Electroblob's Wizardry    | ebwizardry:bubble                             | EntityBubble                        |   59 |
| Electroblob's Wizardry    | ebwizardry:combustion_rune                    | EntityCombustionRune                |   51 |
| Electroblob's Wizardry    | ebwizardry:darkness_orb                       | EntityDarknessOrb                   |   34 |
| Electroblob's Wizardry    | ebwizardry:dart                               | EntityDart                          |   25 |
| Electroblob's Wizardry    | ebwizardry:decay                              | EntityDecay                         |   54 |
| Electroblob's Wizardry    | ebwizardry:decoy                              | EntityDecoy                         |   16 |
| Electroblob's Wizardry    | ebwizardry:earthquake                         | EntityEarthquake                    |   56 |
| Electroblob's Wizardry    | ebwizardry:ember                              | EntityEmber                         |   38 |
| Electroblob's Wizardry    | ebwizardry:evil_wizard                        | EntityEvilWizard                    |   20 |
| Electroblob's Wizardry    | ebwizardry:fire_sigil                         | EntityFireSigil                     |   48 |
| Electroblob's Wizardry    | ebwizardry:firebolt                           | EntityFirebolt                      |   35 |
| Electroblob's Wizardry    | ebwizardry:firebomb                           | EntityFirebomb                      |   27 |
| Electroblob's Wizardry    | ebwizardry:force_arrow                        | EntityForceArrow                    |   24 |
| Electroblob's Wizardry    | ebwizardry:force_orb                          | EntityForceOrb                      |   32 |
| Electroblob's Wizardry    | ebwizardry:forcefield                         | EntityForcefield                    |   47 |
| Electroblob's Wizardry    | ebwizardry:frost_sigil                        | EntityFrostSigil                    |   49 |
| Electroblob's Wizardry    | ebwizardry:hailstorm                          | EntityHailstorm                     |   57 |
| Electroblob's Wizardry    | ebwizardry:healing_aura                       | EntityHealAura                      |   53 |
| Electroblob's Wizardry    | ebwizardry:husk_minion                        | EntityHuskMinion                    |    1 |
| Electroblob's Wizardry    | ebwizardry:ice_charge                         | EntityIceCharge                     |   31 |
| Electroblob's Wizardry    | ebwizardry:ice_giant                          | EntityIceGiant                      |   14 |
| Electroblob's Wizardry    | ebwizardry:ice_lance                          | EntityIceLance                      |   26 |
| Electroblob's Wizardry    | ebwizardry:ice_shard                          | EntityIceShard                      |   22 |
| Electroblob's Wizardry    | ebwizardry:ice_spike                          | EntityIceSpike                      |   61 |
| Electroblob's Wizardry    | ebwizardry:ice_wraith                         | EntityIceWraith                     |    9 |
| Electroblob's Wizardry    | ebwizardry:iceball                            | EntityIceball                       |   41 |
| Electroblob's Wizardry    | ebwizardry:large_magic_fireball               | EntityLargeMagicFireball            |   40 |
| Electroblob's Wizardry    | ebwizardry:levitating_block                   | EntityLevitatingBlock               |   44 |
| Electroblob's Wizardry    | ebwizardry:lightning_arrow                    | EntityLightningArrow                |   23 |
| Electroblob's Wizardry    | ebwizardry:lightning_disc                     | EntityLightningDisc                 |   37 |
| Electroblob's Wizardry    | ebwizardry:lightning_hammer                   | EntityHammer                        |   43 |
| Electroblob's Wizardry    | ebwizardry:lightning_sigil                    | EntityLightningSigil                |   50 |
| Electroblob's Wizardry    | ebwizardry:lightning_wraith                   | EntityLightningWraith               |   10 |
| Electroblob's Wizardry    | ebwizardry:magic_fireball                     | EntityMagicFireball                 |   39 |
| Electroblob's Wizardry    | ebwizardry:magic_missile                      | EntityMagicMissile                  |   21 |
| Electroblob's Wizardry    | ebwizardry:magic_slime                        | EntityMagicSlime                    |   15 |
| Electroblob's Wizardry    | ebwizardry:meteor                             | EntityMeteor                        |   42 |
| Electroblob's Wizardry    | ebwizardry:phoenix                            | EntityPhoenix                       |   13 |
| Electroblob's Wizardry    | ebwizardry:poison_bomb                        | EntityPoisonBomb                    |   28 |
| Electroblob's Wizardry    | ebwizardry:ring_of_fire                       | EntityFireRing                      |   52 |
| Electroblob's Wizardry    | ebwizardry:shadow_wraith                      | EntityShadowWraith                  |   17 |
| Electroblob's Wizardry    | ebwizardry:shield                             | EntityShield                        |   58 |
| Electroblob's Wizardry    | ebwizardry:silverfish_minion                  | EntitySilverfishMinion              |    7 |
| Electroblob's Wizardry    | ebwizardry:skeleton_minion                    | EntitySkeletonMinion                |    2 |
| Electroblob's Wizardry    | ebwizardry:smoke_bomb                         | EntitySmokeBomb                     |   30 |
| Electroblob's Wizardry    | ebwizardry:spark                              | EntitySpark                         |   33 |
| Electroblob's Wizardry    | ebwizardry:spark_bomb                         | EntitySparkBomb                     |   29 |
| Electroblob's Wizardry    | ebwizardry:spider_minion                      | EntitySpiderMinion                  |    4 |
| Electroblob's Wizardry    | ebwizardry:spirit_horse                       | EntitySpiritHorse                   |   12 |
| Electroblob's Wizardry    | ebwizardry:spirit_wolf                        | EntitySpiritWolf                    |   11 |
| Electroblob's Wizardry    | ebwizardry:storm_elemental                    | EntityStormElemental                |   18 |
| Electroblob's Wizardry    | ebwizardry:stray_minion                       | EntityStrayMinion                   |    3 |
| Electroblob's Wizardry    | ebwizardry:thunderbolt                        | EntityThunderbolt                   |   36 |
| Electroblob's Wizardry    | ebwizardry:tornado                            | EntityTornado                       |   60 |
| Electroblob's Wizardry    | ebwizardry:vex_minion                         | EntityVexMinion                     |    8 |
| Electroblob's Wizardry    | ebwizardry:wither_skeleton_minion             | EntityWitherSkeletonMinion          |    6 |
| Electroblob's Wizardry    | ebwizardry:wizard                             | EntityWizard                        |   19 |
| Electroblob's Wizardry    | ebwizardry:zombie_minion                      | EntityZombieMinion                  |    0 |
| Familiar Fauna            | familiarfauna:familiarfauna.butterfly         | EntityButterfly                     |    1 |
| Familiar Fauna            | familiarfauna:familiarfauna.deer              | EntityDeer                          |    2 |
| Familiar Fauna            | familiarfauna:familiarfauna.dragonfly         | EntityDragonfly                     |    3 |
| Familiar Fauna            | familiarfauna:familiarfauna.pixie             | EntityPixie                         |    4 |
| Familiar Fauna            | familiarfauna:familiarfauna.snail             | EntitySnail                         |    5 |
| Familiar Fauna            | familiarfauna:familiarfauna.turkey            | EntityTurkey                        |    6 |
| Grappling hook mod        | grapplemod:grapplemod                         | grappleArrow                        |    0 |
| Gravestone mod - Extended | gravestone-extended:bone_fish_hook            | EntityBoneFishHook                  |   27 |
| Gravestone mod - Extended | gravestone-extended:gsbarghest                | EntityBarghest                      |   22 |
| Gravestone mod - Extended | gravestone-extended:gsdamnedwarrior           | EntityDamnedWarrior                 |   25 |
| Gravestone mod - Extended | gravestone-extended:gsdrowned                 | EntityDrowned                       |   18 |
| Gravestone mod - Extended | gravestone-extended:gshuskskullcrawler        | EntityHuskSkullCrawler              |    8 |
| Gravestone mod - Extended | gravestone-extended:gsmummy                   | EntityMummy                         |   17 |
| Gravestone mod - Extended | gravestone-extended:gsphantomdiver            | EntityPhantomDiver                  |   19 |
| Gravestone mod - Extended | gravestone-extended:gspigmanskullcrawler      | EntityPigmanSkullCrawler            |    9 |
| Gravestone mod - Extended | gravestone-extended:gspossessedarmor          | EntityPossessedArmor                |   16 |
| Gravestone mod - Extended | gravestone-extended:gsraven                   | EntityRaven                         |   24 |
| Gravestone mod - Extended | gravestone-extended:gsskeleton                | EntityGSSkeleton                    |   10 |
| Gravestone mod - Extended | gravestone-extended:gsskeletoncat             | EntitySkeletonCat                   |    3 |
| Gravestone mod - Extended | gravestone-extended:gsskeletondog             | EntitySkeletonDog                   |    2 |
| Gravestone mod - Extended | gravestone-extended:gsskeletonhorse           | EntitySkeletonHorse                 |   12 |
| Gravestone mod - Extended | gravestone-extended:gsskeletonraider          | EntitySkeletonRaider                |   14 |
| Gravestone mod - Extended | gravestone-extended:gsskullcrawler            | EntitySkullCrawler                  |    4 |
| Gravestone mod - Extended | gravestone-extended:gsstrayskullcrawler       | EntityStraySkullCrawler             |    5 |
| Gravestone mod - Extended | gravestone-extended:gsswampthing              | EntitySwampThing                    |   23 |
| Gravestone mod - Extended | gravestone-extended:gstoxicsludge             | EntityToxicSludge                   |   15 |
| Gravestone mod - Extended | gravestone-extended:gsvampirebat              | EntityVampireBat                    |   20 |
| Gravestone mod - Extended | gravestone-extended:gswitheredbat             | EntityWitheredBat                   |   21 |
| Gravestone mod - Extended | gravestone-extended:gswitherskullcrawler      | EntityWitherSkullCrawler            |    6 |
| Gravestone mod - Extended | gravestone-extended:gszombiecat               | EntityZombieCat                     |    1 |
| Gravestone mod - Extended | gravestone-extended:gszombiedog               | EntityZombieDog                     |    0 |
| Gravestone mod - Extended | gravestone-extended:gszombiehorse             | EntityZombieHorse                   |   11 |
| Gravestone mod - Extended | gravestone-extended:gszombieraider            | EntityZombieRaider                  |   13 |
| Gravestone mod - Extended | gravestone-extended:gszombieskullcrawler      | EntityZombieSkullCrawler            |    7 |
| Gravestone mod - Extended | gravestone-extended:obsidian_fish_hook        | EntityObsidianFishHook              |   28 |
| Gravestone mod - Extended | gravestone-extended:spawner_helper            | EntityGroupOfGravesMobSpawnerHelper |   26 |
| Ice and Fire              | iceandfire:amphithere                         | EntityAmphithere                    |  934 |
| Ice and Fire              | iceandfire:amphitherearrow                    | EntityAmphithereArrow               |  935 |
| Ice and Fire              | iceandfire:chaintie                           | EntityChainTie                      |  939 |
| Ice and Fire              | iceandfire:cyclops                            | EntityCyclops                       |  917 |
| Ice and Fire              | iceandfire:deathworm                          | EntityDeathWorm                     |  920 |
| Ice and Fire              | iceandfire:deathwormegg                       | EntityDeathWormEgg                  |  921 |
| Ice and Fire              | iceandfire:dragonarrow                        | EntityDragonArrow                   |  902 |
| Ice and Fire              | iceandfire:dragonegg                          | EntityDragonEgg                     |  901 |
| Ice and Fire              | iceandfire:dragonfirecharge                   | EntityDragonFireCharge              |  908 |
| Ice and Fire              | iceandfire:dragonicecharge                    | EntityDragonIceCharge               |  909 |
| Ice and Fire              | iceandfire:dragonskull                        | EntityDragonSkull                   |  903 |
| Ice and Fire              | iceandfire:firedragon                         | EntityFireDragon                    |  905 |
| Ice and Fire              | iceandfire:gorgon                             | EntityGorgon                        |  914 |
| Ice and Fire              | iceandfire:hippocampus                        | EntityHippocampus                   |  919 |
| Ice and Fire              | iceandfire:hippogryph                         | EntityHippogryph                    |  912 |
| Ice and Fire              | iceandfire:hippogryphegg                      | EntityHippogryphEgg                 |  911 |
| Ice and Fire              | iceandfire:icedragon                          | EntityIceDragon                     |  907 |
| Ice and Fire              | iceandfire:if_cockatrice                      | EntityCockatrice                    |  922 |
| Ice and Fire              | iceandfire:if_cockatriceegg                   | EntityCockatriceEgg                 |  923 |
| Ice and Fire              | iceandfire:if_mob_skull                       | EntityMobSkull                      |  943 |
| Ice and Fire              | iceandfire:if_pixie                           | EntityPixie                         |  915 |
