+--------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                | Registry name                                              | Ticking? |
| com.github.wolfiewaffle.tanspit.tileentity.TileEntitySpit                            | minecraft:tileentity_spit                                  |      yes |
| com.lothrazar.cyclicmagic.block.anvil.TileEntityAnvilAuto                            | minecraft:cyclicmagicblock_anvil_te                        |      yes |
| com.lothrazar.cyclicmagic.block.anvilmagma.TileEntityAnvilMagma                      | minecraft:cyclicmagicblock_anvil_magma_te                  |      yes |
| com.lothrazar.cyclicmagic.block.anvilvoid.TileEntityVoidAnvil                        | minecraft:void_anvil_te                                    |      yes |
| com.lothrazar.cyclicmagic.block.arrowtarget.TileEntityArrowTarget                    | minecraft:target_te                                        |      yes |
| com.lothrazar.cyclicmagic.block.battery.TileEntityBattery                            | minecraft:cyclicmagicbattery_te                            |      yes |
| com.lothrazar.cyclicmagic.block.batterycheat.TileEntityBatteryInfinite               | minecraft:cyclicmagicbattery_infinite_te                   |      yes |
| com.lothrazar.cyclicmagic.block.beaconempty.TileEntityBeaconPowered                  | minecraft:beacon_redstone_te                               |      yes |
| com.lothrazar.cyclicmagic.block.beaconpotion.TileEntityBeaconPotion                  | minecraft:beacon_potion_te                                 |      yes |
| com.lothrazar.cyclicmagic.block.builderpattern.TileEntityPatternBuilder              | minecraft:builder_pattern_te                               |      yes |
| com.lothrazar.cyclicmagic.block.buildershape.TileEntityStructureBuilder              | minecraft:builder_te                                       |      yes |
| com.lothrazar.cyclicmagic.block.clockredstone.TileEntityClock                        | minecraft:clock_te                                         |      yes |
| com.lothrazar.cyclicmagic.block.controlledminer.TileEntityControlledMiner            | minecraft:cyclicmagicminer_smart_te                        |      yes |
| com.lothrazar.cyclicmagic.block.dehydrator.TileEntityDeHydrator                      | minecraft:dehydrator_te                                    |      yes |
| com.lothrazar.cyclicmagic.block.dice.TileEntityDice                                  | minecraft:dice_te                                          |      yes |
| com.lothrazar.cyclicmagic.block.disenchanter.TileEntityDisenchanter                  | minecraft:cyclicmagicblock_disenchanter_te                 |      yes |
| com.lothrazar.cyclicmagic.block.dropper.TileEntityDropperExact                       | minecraft:dropper_exact_te                                 |      yes |
| com.lothrazar.cyclicmagic.block.enchanter.TileEntityEnchanter                        | minecraft:cyclicmagicblock_enchanter_te                    |      yes |
| com.lothrazar.cyclicmagic.block.enchantlibrary.ctrl.TileEntityLibraryCtrl            | minecraft:cyclicmagiclibrary_ctrl_te                       |      yes |
| com.lothrazar.cyclicmagic.block.enchantlibrary.shelf.TileEntityLibrary               | minecraft:cyclicmagiclibrary_te                            |      yes |
| com.lothrazar.cyclicmagic.block.entitydetector.TileEntityDetector                    | minecraft:cyclicmagicentity_detector_te                    |      yes |
| com.lothrazar.cyclicmagic.block.exppylon.TileEntityXpPylon                           | minecraft:exp_pylon_te                                     |      yes |
| com.lothrazar.cyclicmagic.block.firestarter.TileEntityFireStarter                    | minecraft:fire_starter_te                                  |      yes |
| com.lothrazar.cyclicmagic.block.fishing.TileEntityFishing                            | minecraft:cyclicmagicblock_fishing_te                      |      yes |
| com.lothrazar.cyclicmagic.block.fluiddrain.TileEntityFluidDrain                      | minecraft:fluid_drain_te                                   |      yes |
| com.lothrazar.cyclicmagic.block.fluidplacer.TileEntityFluidPlacer                    | minecraft:fluid_placer_te                                  |      yes |
| com.lothrazar.cyclicmagic.block.forester.TileEntityForester                          | minecraft:block_forester_te                                |      yes |
| com.lothrazar.cyclicmagic.block.harvester.TileEntityHarvester                        | minecraft:harveseter_te                                    |      yes |
| com.lothrazar.cyclicmagic.block.imbue.TileEntityImbue                                | minecraft:imbuer_te                                        |      yes |
| com.lothrazar.cyclicmagic.block.interdiction.TileEntityMagnetAnti                    | minecraft:magnet_anti_block_te                             |      yes |
| com.lothrazar.cyclicmagic.block.laser.TileEntityLaser                                | minecraft:laser_te                                         |      yes |
| com.lothrazar.cyclicmagic.block.magnetitem.TileEntityMagnet                          | minecraft:magnet_block_te                                  |      yes |
| com.lothrazar.cyclicmagic.block.melter.TileMelter                                    | minecraft:melter_te                                        |      yes |
| com.lothrazar.cyclicmagic.block.moondetector.TileEntityMoon                          | minecraft:moon_sensor_te                                   |      yes |
| com.lothrazar.cyclicmagic.block.packager.TileEntityPackager                          | minecraft:auto_packager_te                                 |      yes |
| com.lothrazar.cyclicmagic.block.password.TileEntityPassword                          | minecraft:password_block_te                                |      yes |
| com.lothrazar.cyclicmagic.block.peat.farm.TileEntityPeatFarm                         | minecraft:cyclicmagicpeat_farm_te                          |      yes |
| com.lothrazar.cyclicmagic.block.peat.generator.TileEntityPeatGenerator               | minecraft:cyclicmagicpeat_generator_te                     |      yes |
| com.lothrazar.cyclicmagic.block.screentarget.TileEntityScreenTarget                  | minecraft:cyclicmagicscreentarget_te                       |      yes |
| com.lothrazar.cyclicmagic.block.screentype.TileEntityScreen                          | minecraft:cyclicmagicscreen_te                             |        - |
| com.lothrazar.cyclicmagic.block.solidifier.TileSolidifier                            | minecraft:solidifier_te                                    |      yes |
| com.lothrazar.cyclicmagic.block.sound.TileEntitySoundPlayer                          | minecraft:sound_player_te                                  |      yes |
| com.lothrazar.cyclicmagic.block.tank.TileEntityFluidTank                             | minecraft:bucketstorage                                    |      yes |
| com.lothrazar.cyclicmagic.block.trash.TileEntityTrash                                | minecraft:cyclicmagictrash_te                              |      yes |
| com.lothrazar.cyclicmagic.block.vector.TileEntityVector                              | minecraft:plate_vector_te                                  |        - |
| com.lothrazar.cyclicmagic.block.wireless.TileEntityWirelessRec                       | minecraft:wireless_receiver_te                             |      yes |
| com.lothrazar.cyclicmagic.block.wireless.TileEntityWirelessTr                        | minecraft:wireless_transmitter_te                          |      yes |
| com.lothrazar.cyclicmagic.block.workbench.TileEntityWorkbench                        | minecraft:cyclicmagicworkbench_te                          |        - |
| com.mujmajnkraft.bettersurvival.tileentities.TileEntityCustomCauldron                | mujmajnkraftsbettersurvival:customcauldron                 |      yes |
| com.pam.harvestcraft.tileentities.TileEntityApiary                                   | minecraft:pamapiary                                        |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGrinder                                  | minecraft:pamgrinder                                       |      yes |
| com.pam.harvestcraft.tileentities.TileEntityGroundTrap                               | minecraft:pamgroundtrap                                    |      yes |
| com.pam.harvestcraft.tileentities.TileEntityMarket                                   | minecraft:pammarket                                        |        - |
| com.pam.harvestcraft.tileentities.TileEntityPresser                                  | minecraft:pampresser                                       |      yes |
| com.pam.harvestcraft.tileentities.TileEntityShippingBin                              | minecraft:pamshippingbin                                   |        - |
| com.pam.harvestcraft.tileentities.TileEntityWaterFilter                              | minecraft:pamwaterfilter                                   |      yes |
| com.pam.harvestcraft.tileentities.TileEntityWaterTrap                                | minecraft:pamwatertrap                                     |      yes |
| com.tmtravlr.qualitytools.reforging.TileEntityReforgingStation                       | minecraft:qualitytools.reforging_station                   |        - |
| com.yyon.grapplinghook.blocks.TileEntityGrappleModifier                              | minecraft:tile_entity_grapple_modifier                     |        - |
| cursedflames.bountifulbaubles.block.TileReforger                                     | bountifulbaubles:tileentity_tile.bountifulbaubles.reforger |        - |
| dan200.computercraft.shared.computer.blocks.TileCommandComputer                      | computercraft : command_computer                           |      yes |
| dan200.computercraft.shared.computer.blocks.TileComputer                             | computercraft : computer                                   |      yes |
| dan200.computercraft.shared.peripheral.diskdrive.TileDiskDrive                       | computercraft : diskdrive                                  |      yes |
| dan200.computercraft.shared.peripheral.modem.TileAdvancedModem                       | computercraft : advanced_modem                             |      yes |
| dan200.computercraft.shared.peripheral.modem.TileCable                               | computercraft : wiredmodem                                 |      yes |
| dan200.computercraft.shared.peripheral.modem.TileWirelessModem                       | computercraft : wirelessmodem                              |      yes |
| dan200.computercraft.shared.peripheral.monitor.TileMonitor                           | computercraft : monitor                                    |      yes |
| dan200.computercraft.shared.peripheral.printer.TilePrinter                           | computercraft : ccprinter                                  |      yes |
| dan200.computercraft.shared.peripheral.speaker.TileSpeaker                           | computercraft : speaker                                    |      yes |
| dan200.computercraft.shared.turtle.blocks.TileTurtle                                 | computercraft : turtle                                     |      yes |
| dan200.computercraft.shared.turtle.blocks.TileTurtleAdvanced                         | computercraft : turtleadv                                  |      yes |
| dan200.computercraft.shared.turtle.blocks.TileTurtleExpanded                         | computercraft : turtleex                                   |      yes |
| de.Whitedraco.switchbow.tileentity.TileEntityArrowDispenser                          | minecraft:arrowlancher                                     |        - |
| de.Whitedraco.switchbow.tileentity.TileEntityPodest                                  | minecraft:podest                                           |      yes |
| de.impelon.disenchanter.blocks.TileEntityDisenchantmentTable                         | minecraft:tiledisentchantmenttable                         |      yes |
| de.impelon.disenchanter.blocks.TileEntityDisenchantmentTableAutomatic                | minecraft:tiledisentchantmenttableautomatic                |      yes |
| electroblob.wizardry.tileentity.TileEntityArcaneWorkbench                            | ebwizardry:arcane_workbench                                |      yes |
| electroblob.wizardry.tileentity.TileEntityMagicLight                                 | ebwizardry:magic_light                                     |      yes |
| electroblob.wizardry.tileentity.TileEntityPlayerSave                                 | ebwizardry:player_save                                     |        - |
| electroblob.wizardry.tileentity.TileEntityPlayerSaveTimed                            | ebwizardry:player_save_timed                               |      yes |
| electroblob.wizardry.tileentity.TileEntityShrineCore                                 | ebwizardry:shrine_core                                     |      yes |
| electroblob.wizardry.tileentity.TileEntityStatue                                     | ebwizardry:petrified_stone                                 |      yes |
| electroblob.wizardry.tileentity.TileEntityTimer                                      | ebwizardry:timer                                           |      yes |
| jds.bibliocraft.tileentities.TileEntityArmorStand                                    | minecraft:armorstand                                       |        - |
| jds.bibliocraft.tileentities.TileEntityBell                                          | minecraft:bell                                             |      yes |
| jds.bibliocraft.tileentities.TileEntityBookcase                                      | minecraft:bookcase                                         |        - |
| jds.bibliocraft.tileentities.TileEntityCase                                          | minecraft:case                                             |        - |
| jds.bibliocraft.tileentities.TileEntityClipboard                                     | minecraft:clipboard                                        |        - |
| jds.bibliocraft.tileentities.TileEntityClock                                         | minecraft:clock                                            |      yes |
| jds.bibliocraft.tileentities.TileEntityCookieJar                                     | minecraft:cookiejar                                        |      yes |
| jds.bibliocraft.tileentities.TileEntityDesk                                          | minecraft:desk                                             |      yes |
| jds.bibliocraft.tileentities.TileEntityDinnerPlate                                   | minecraft:dinnerplate                                      |        - |
| jds.bibliocraft.tileentities.TileEntityFancySign                                     | minecraft:fancysign                                        |        - |
| jds.bibliocraft.tileentities.TileEntityFancyWorkbench                                | minecraft:fancyworkbench                                   |        - |
| jds.bibliocraft.tileentities.TileEntityFramedChest                                   | minecraft:framedchest                                      |      yes |
| jds.bibliocraft.tileentities.TileEntityFurniturePaneler                              | minecraft:furniturepaneler                                 |        - |
| jds.bibliocraft.tileentities.TileEntityLabel                                         | minecraft:label                                            |        - |
| jds.bibliocraft.tileentities.TileEntityMapFrame                                      | minecraft:mapframe                                         |      yes |
| jds.bibliocraft.tileentities.TileEntityMarkerPole                                    | minecraft:markerpole                                       |        - |
| jds.bibliocraft.tileentities.TileEntityPaintPress                                    | minecraft:paintingpress                                    |      yes |
| jds.bibliocraft.tileentities.TileEntityPaintingBorderless                            | minecraft:paintingframeborderless                          |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingFancy                                 | minecraft:paintingframefancy                               |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingFlat                                  | minecraft:paintingframeflat                                |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingMiddle                                | minecraft:paintingframemiddle                              |        - |
| jds.bibliocraft.tileentities.TileEntityPaintingSimple                                | minecraft:paintingframesimple                              |        - |
| jds.bibliocraft.tileentities.TileEntityPotionShelf                                   | minecraft:potionshelf                                      |        - |
| jds.bibliocraft.tileentities.TileEntityPrintPress                                    | minecraft:printingpress                                    |      yes |
| jds.bibliocraft.tileentities.TileEntitySeat                                          | minecraft:seat                                             |      yes |
| jds.bibliocraft.tileentities.TileEntityShelf                                         | minecraft:shelf                                            |        - |
| jds.bibliocraft.tileentities.TileEntitySwordPedestal                                 | minecraft:swordpedestal                                    |        - |
| jds.bibliocraft.tileentities.TileEntityTable                                         | minecraft:table                                            |      yes |
| jds.bibliocraft.tileentities.TileEntityToolRack                                      | minecraft:toolrack                                         |        - |
| jds.bibliocraft.tileentities.TileEntityTypeMachine                                   | minecraft:typesettingtable                                 |      yes |
| jds.bibliocraft.tileentities.TileEntityTypewriter                                    | minecraft:typewriter                                       |      yes |
| lumien.randomthings.tileentity.TileEntityAdvancedItemCollector                       | randomthings:advanceditemcollector                         |      yes |
| lumien.randomthings.tileentity.TileEntityAdvancedRedstoneRepeater                    | randomthings:configurablerepeater                          |        - |
| lumien.randomthings.tileentity.TileEntityAdvancedRedstoneTorch                       | randomthings:advancedredstonetorch                         |        - |
| lumien.randomthings.tileentity.TileEntityAnalogEmitter                               | randomthings:analogemitter                                 |        - |
| lumien.randomthings.tileentity.TileEntityAncientFurnace                              | randomthings:ancientfurnace                                |      yes |
| lumien.randomthings.tileentity.TileEntityBiomeRadar                                  | randomthings:biomeradar                                    |      yes |
| lumien.randomthings.tileentity.TileEntityBlockBreaker                                | randomthings:blockbreaker                                  |      yes |
| lumien.randomthings.tileentity.TileEntityBlockDestabilizer                           | randomthings:blockdestabilizer                             |      yes |
| lumien.randomthings.tileentity.TileEntityBlockDiaphanous                             | randomthings:diaphanousblock                               |        - |
| lumien.randomthings.tileentity.TileEntityChatDetector                                | randomthings:chatdetector                                  |      yes |
| lumien.randomthings.tileentity.TileEntityCreativePlayerInterface                     | randomthings:creativeplayerinterface                       |        - |
| lumien.randomthings.tileentity.TileEntityCustomWorkbench                             | randomthings:customworkbench                               |        - |
| lumien.randomthings.tileentity.TileEntityEnderAnchor                                 | randomthings:enderanchor                                   |      yes |
| lumien.randomthings.tileentity.TileEntityEnderBridge                                 | randomthings:enderbridge                                   |      yes |
| lumien.randomthings.tileentity.TileEntityEnderMailbox                                | randomthings:endermailbox                                  |      yes |
| lumien.randomthings.tileentity.TileEntityEntityDetector                              | randomthings:entitydetector                                |      yes |
| lumien.randomthings.tileentity.TileEntityExtractionPlate                             | randomthings:extractionplate                               |      yes |
| lumien.randomthings.tileentity.TileEntityFilteredRedirectorPlate                     | randomthings:filteredredirectorplate                       |        - |
| lumien.randomthings.tileentity.TileEntityFilteredSuperLubricentPlatform              | randomthings:filteredsuperlubricentplatform                |        - |
| lumien.randomthings.tileentity.TileEntityFlooBrick                                   | randomthings:floobrick                                     |        - |
| lumien.randomthings.tileentity.TileEntityFluidDisplay                                | randomthings:fluiddisplay                                  |        - |
| lumien.randomthings.tileentity.TileEntityGlobalChatDetector                          | randomthings:globalchatdetector                            |      yes |
| lumien.randomthings.tileentity.TileEntityIgniter                                     | randomthings:igniter                                       |        - |
| lumien.randomthings.tileentity.TileEntityImbuingStation                              | randomthings:imbuingstation                                |      yes |
| lumien.randomthings.tileentity.TileEntityInventoryRerouter                           | randomthings:inventoryrerouter                             |        - |
| lumien.randomthings.tileentity.TileEntityInventoryTester                             | randomthings:inventorytester                               |      yes |
| lumien.randomthings.tileentity.TileEntityIronDropper                                 | randomthings:irondropper                                   |      yes |
| lumien.randomthings.tileentity.TileEntityItemCollector                               | randomthings:itemcollector                                 |      yes |
| lumien.randomthings.tileentity.TileEntityLightRedirector                             | randomthings:lightredirector                               |        - |
| lumien.randomthings.tileentity.TileEntityLinkOrb                                     | randomthings:linkorb                                       |        - |
| lumien.randomthings.tileentity.TileEntityNotificationInterface                       | randomthings:notificationinterface                         |        - |
| lumien.randomthings.tileentity.TileEntityOnlineDetector                              | randomthings:onlinedetector                                |      yes |
| lumien.randomthings.tileentity.TileEntityPeaceCandle                                 | randomthings:peacecandle                                   |        - |
| lumien.randomthings.tileentity.TileEntityPlayerInterface                             | randomthings:playerinterface                               |        - |
| lumien.randomthings.tileentity.TileEntityPotionVaporizer                             | randomthings:potionvaporizer                               |      yes |
| lumien.randomthings.tileentity.TileEntityPrismarineEnderBridge                       | randomthings:prismarineenderbridge                         |      yes |
| lumien.randomthings.tileentity.TileEntityProcessingPlate                             | randomthings:processingplate                               |      yes |
| lumien.randomthings.tileentity.TileEntityRainShield                                  | randomthings:rainshield                                    |        - |
| lumien.randomthings.tileentity.TileEntityRedstoneObserver                            | randomthings:redstoneobserver                              |        - |
| lumien.randomthings.tileentity.TileEntityRuneBase                                    | randomthings:runebase                                      |        - |
| lumien.randomthings.tileentity.TileEntitySlimeCube                                   | randomthings:slimecore                                     |        - |
| lumien.randomthings.tileentity.TileEntitySoundBox                                    | randomthings:soundbox                                      |        - |
| lumien.randomthings.tileentity.TileEntitySoundDampener                               | randomthings:sounddampener                                 |        - |
| lumien.randomthings.tileentity.TileEntitySpecialChest                                | randomthings:specialchest                                  |      yes |
| lumien.randomthings.tileentity.TileEntitySpectreCoil                                 | randomthings:spectrecoil                                   |      yes |
| lumien.randomthings.tileentity.TileEntitySpectreEnergyInjector                       | randomthings:spectreenergyinjector                         |        - |
| lumien.randomthings.tileentity.TileEntitySpectreLens                                 | randomthings:spectrelens                                   |      yes |
| lumien.randomthings.tileentity.TileEntityVoxelProjector                              | randomthings:voxelprojector                                |      yes |
| lumien.randomthings.tileentity.cores.TileEntityNatureCore                            | randomthings:naturecore                                    |      yes |
| lumien.randomthings.tileentity.redstoneinterface.TileEntityAdvancedRedstoneInterface | randomthings:advancedredstoneinterface                     |      yes |
| lumien.randomthings.tileentity.redstoneinterface.TileEntityBasicRedstoneInterface    | randomthings:basicredstoneinterface                        |      yes |
| lykrast.defiledlands.common.tileentity.TileConjuringAltar                            | defiledlands:conjuring_altar                               |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCabinet                                | cookingforblockheads:cabinet                               |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCookingTable                           | cookingforblockheads:cooking_table                         |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCorner                                 | cookingforblockheads:corner                                |        - |
| net.blay09.mods.cookingforblockheads.tile.TileCounter                                | cookingforblockheads:counter                               |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCowJar                                 | cookingforblockheads:cow_jar                               |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileCuttingBoard                           | cookingforblockheads:cutting_board                         |        - |
| net.blay09.mods.cookingforblockheads.tile.TileFridge                                 | cookingforblockheads:fridge                                |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileFruitBasket                            | cookingforblockheads:fruit_basket                          |        - |
| net.blay09.mods.cookingforblockheads.tile.TileMilkJar                                | cookingforblockheads:milk_jar                              |        - |
| net.blay09.mods.cookingforblockheads.tile.TileOven                                   | cookingforblockheads:oven                                  |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileSink                                   | cookingforblockheads:sink                                  |        - |
| net.blay09.mods.cookingforblockheads.tile.TileSpiceRack                              | cookingforblockheads:spice_rack                            |        - |
| net.blay09.mods.cookingforblockheads.tile.TileToaster                                | cookingforblockheads:toaster                               |      yes |
| net.blay09.mods.cookingforblockheads.tile.TileToolRack                               | cookingforblockheads:tool_rack                             |        - |
| net.blay09.mods.waystones.block.TileWaystone                                         | waystones:waystone                                         |        - |
| net.mcft.copy.backpacks.block.entity.TileEntityBackpack                              | wearablebackpacks:backpack                                 |      yes |
| net.minecraft.block.BlockJukebox$TileEntityJukebox                                   | minecraft:jukebox                                          |        - |
| net.minecraft.tileentity.TileEntityBanner                                            | minecraft:banner                                           |        - |
| net.minecraft.tileentity.TileEntityBeacon                                            | minecraft:beacon                                           |      yes |
| net.minecraft.tileentity.TileEntityBed                                               | minecraft:bed                                              |        - |
| net.minecraft.tileentity.TileEntityBrewingStand                                      | minecraft:brewing_stand                                    |      yes |
| net.minecraft.tileentity.TileEntityChest                                             | minecraft:chest                                            |      yes |
| net.minecraft.tileentity.TileEntityCommandBlock                                      | minecraft:command_block                                    |        - |
| net.minecraft.tileentity.TileEntityComparator                                        | minecraft:comparator                                       |        - |
| net.minecraft.tileentity.TileEntityDaylightDetector                                  | minecraft:daylight_detector                                |      yes |
| net.minecraft.tileentity.TileEntityDispenser                                         | minecraft:dispenser                                        |        - |
| net.minecraft.tileentity.TileEntityDropper                                           | minecraft:dropper                                          |        - |
| net.minecraft.tileentity.TileEntityEnchantmentTable                                  | minecraft:enchanting_table                                 |      yes |
| net.minecraft.tileentity.TileEntityEndGateway                                        | minecraft:end_gateway                                      |      yes |
| net.minecraft.tileentity.TileEntityEndPortal                                         | minecraft:end_portal                                       |        - |
| net.minecraft.tileentity.TileEntityEnderChest                                        | minecraft:ender_chest                                      |      yes |
| net.minecraft.tileentity.TileEntityFlowerPot                                         | minecraft:flower_pot                                       |        - |
| net.minecraft.tileentity.TileEntityFurnace                                           | minecraft:furnace                                          |      yes |
| net.minecraft.tileentity.TileEntityMobSpawner                                        | minecraft:mob_spawner                                      |      yes |
| net.minecraft.tileentity.TileEntityNote                                              | minecraft:noteblock                                        |        - |
| net.minecraft.tileentity.TileEntityPiston                                            | minecraft:piston                                           |      yes |
| net.minecraft.tileentity.TileEntityShulkerBox                                        | minecraft:shulker_box                                      |      yes |
| net.minecraft.tileentity.TileEntitySign                                              | minecraft:sign                                             |        - |
| net.minecraft.tileentity.TileEntitySkull                                             | minecraft:skull                                            |      yes |
| net.minecraft.tileentity.TileEntityStructure                                         | minecraft:structure_block                                  |        - |
| net.slayer5934.chococraft.common.tileentities.TileEntityChocoboEgg                   | chococraft:chocobo_egg                                     |        - |
| net.slayer5934.chococraft.common.tileentities.TileEntityChocoboNest                  | chococraft:chocobo_nest                                    |      yes |
| nightkosh.gravestone.tileentity.TileEntityGraveStone                                 | minecraft:gravestonete                                     |      yes |
| nightkosh.gravestone_extended.tileentity.TileEntityAltar                             | minecraft:gsaltar                                          |        - |
| nightkosh.gravestone_extended.tileentity.TileEntityExecution                         | minecraft:gsexecution                                      |        - |
| nightkosh.gravestone_extended.tileentity.TileEntityHauntedChest                      | minecraft:gshauntedchest                                   |      yes |
| nightkosh.gravestone_extended.tileentity.TileEntityMemorial                          | minecraft:gsmemorial                                       |        - |
| nightkosh.gravestone_extended.tileentity.TileEntitySpawner                           | minecraft:gsspawner                                        |      yes |
| noppes.vc.blocks.tiles.TileBanner                                                    | variedcommodities:banner                                   |        - |
| noppes.vc.blocks.tiles.TileBarrel                                                    | variedcommodities:barrel                                   |        - |
| noppes.vc.blocks.tiles.TileBeam                                                      | variedcommodities:beam                                     |        - |
| noppes.vc.blocks.tiles.TileBigSign                                                   | variedcommodities:big_sign                                 |        - |
| noppes.vc.blocks.tiles.TileBlood                                                     | variedcommodities:blood_block                              |        - |
| noppes.vc.blocks.tiles.TileBook                                                      | variedcommodities:book                                     |        - |
| noppes.vc.blocks.tiles.TileCampfire                                                  | variedcommodities:campfire                                 |        - |
| noppes.vc.blocks.tiles.TileCandle                                                    | variedcommodities:candle                                   |        - |
| noppes.vc.blocks.tiles.TileCarpentryBench                                            | variedcommodities:carpentry_bench                          |        - |
| noppes.vc.blocks.tiles.TileChair                                                     | variedcommodities:chair                                    |        - |
| noppes.vc.blocks.tiles.TileCouchWood                                                 | variedcommodities:couch_wood                               |        - |
| noppes.vc.blocks.tiles.TileCouchWool                                                 | variedcommodities:couch_wool                               |        - |
| noppes.vc.blocks.tiles.TileCrate                                                     | variedcommodities:crate                                    |        - |
| noppes.vc.blocks.tiles.TileLamp                                                      | variedcommodities:lamp                                     |        - |
| noppes.vc.blocks.tiles.TilePedestal                                                  | variedcommodities:pedestal                                 |        - |
| noppes.vc.blocks.tiles.TileShelf                                                     | variedcommodities:shelf                                    |        - |
| noppes.vc.blocks.tiles.TileSign                                                      | variedcommodities:sign                                     |        - |
| noppes.vc.blocks.tiles.TileStool                                                     | variedcommodities:stool                                    |        - |
| noppes.vc.blocks.tiles.TileTable                                                     | variedcommodities:table                                    |        - |
