+-----+--------------------------------------------+-------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name              | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
|  70 | defiledlands:ice_plains_defiled            | Defiled Ice Plains      |  0.00 | COLD     | 0.50 | false | false   | ICY        | COLD, SNOWY, SPOOKY, WASTELAND                                    | stronghold                 | 0x006B5B68 (   7035752) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  71 | traverse:autumnal_woods                    | Autumnal Woods          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFD6C23D (  -2702787) | 0xFFD2D31F (  -2960609) |
|  72 | traverse:woodlands                         | Woodlands               |  0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF99A955 (  -6706859) | 0xFF849E4A (  -8085942) |
|  73 | traverse:mini_jungle                       | Mini Jungle             |  0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                                           | spawn                      | 0xFF24B01C ( -14372836) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  74 | traverse:meadow                            | Meadow                  |  0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                                                 | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF65CC53 ( -10105773) | 0xFF5DD64A ( -10627510) |
|  75 | traverse:green_swamp                       | Lush Swamp              |  0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                                  | spawn                      | 0x00FFFFFF (  16777215) | 0xFF4DD838 ( -11675592) | 0xFF4DD838 ( -11675592) |
|  76 | traverse:red_desert                        | Red Desert              |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                                   | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  77 | traverse:temperate_rainforest              | Temperate Rainforest    |  0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                                                | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF338235 ( -13401547) | 0xFF338235 ( -13401547) |
|  78 | traverse:badlands                          | Badlands                |  0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFDBC77C (  -2373764) | 0xFFC2C168 (  -4013720) |
|  79 | traverse:mountainous_desert                | Mountainous Desert      |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                                         | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  80 | traverse:rocky_plateau                     | Rocky Plateau           |  0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                                     | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFA2BA5D (  -6112675) | 0xFF8BA835 (  -7624651) |
|  81 | traverse:forested_hills                    | Forested Hills          |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  82 | traverse:birch_forested_hills              | Birch Forested Hills    |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  83 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills   |  0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFFD6C23D (  -2702787) | 0xFFD2D31F (  -2960609) |
|  84 | traverse:cliffs                            | Cliffs                  |  0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF81BB75 (  -8275083) | 0xFF60A952 ( -10442414) |
|  85 | traverse:glacier                           | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  86 | traverse:glacier_spikes                    | Glacier Spikes          |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                                             | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  87 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF338235 ( -13401547) | 0xFF338235 ( -13401547) |
|  88 | traverse:lush_hills                        | Lush Hills              |  0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF7FE03E (  -8396738) | 0xFF58EA33 ( -10950093) |
|  89 | traverse:canyon                            | Canyon                  |  1.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY                                                         | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF90814D (  -7306931) | 0xFF9E814D (  -6389427) |
|  90 | traverse:crag_cliffs                       | Crag Cliffs             |  0.40 | MEDIUM   | 0.00 | false | false   | COOL       | COLD, DEAD                                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF90814D (  -7306931) | 0xFF9E814D (  -6389427) |
|  91 | traverse:desert_shrubland                  | Desert Shrubland        |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFE0CE5C (  -2044324) | 0xFFAEA42A (  -5331926) |
|  92 | traverse:thicket                           | Thicket                 |  0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF74CD61 (  -9122463) | 0xFF6DAF61 (  -9588895) |
|  93 | traverse:arid_highland                     | Arid Highland           |  2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE                                 | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFBACD78 (  -4534920) | 0xFF80A02E (  -8347602) |
|  94 | traverse:rocky_plains                      | Rocky Plains            |  0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                                             | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF73C447 (  -9190329) | 0xFF50B41A ( -11488230) |
|  95 | iceandfire:glacier                         | Glacier                 |  0.00 | COLD     | 0.50 |  true | false   | COOL       | COLD, DEAD, SNOWY, SPARSE, WASTELAND                              | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  96 | rats:ratlantis                             | ratlantis               |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  97 | dimdoors:limbo                             | Limbo                   |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                                              | stronghold                 | 0x00000000 (         0) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
|  98 | dimdoors:white_void                        | White Void              |  0.50 | MEDIUM   | 0.00 | false | false   |            | VOID                                                              |                            | 0x00FFFFFF (  16777215) | 0xFFA0B676 (  -6244746) | 0xFF87A353 (  -7888045) |
