+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                   | Meta/dmg | Display name                                | Ore Dict Keys                                                                  | NBT                                                                                                                                         |
| animania:raw_prime_pork                         |        0 | Raw Prime Pork                              | foodMeats,listAllmeatraw,listAllporkraw                                        |                                                                                                                                             |
| animania:raw_prime_rabbit                       |        0 | Raw Prime Rabbit                            | foodMeats,listAllmeatraw                                                       |                                                                                                                                             |
| animania:raw_prime_steak                        |        0 | Raw Prime Steak                             | foodMeats,listAllbeefraw,listAllmeatraw                                        |                                                                                                                                             |
| animania:salt                                   |        0 | Salt                                        | dustSalt,foodSalt,itemSalt,listAllsalt,salt                                    |                                                                                                                                             |
| animania:sheep_cheese_wedge                     |        0 | Cheese Wedge (Sheep)                        | foodCheese                                                                     |                                                                                                                                             |
| animania:taupe_peacock_feather                  |        0 | Taupe Peacock Feather                       | feather                                                                        |                                                                                                                                             |
| animania:white_peacock_feather                  |        0 | White Peacock Feather                       | feather                                                                        |                                                                                                                                             |
| animania:wool                                   |    32767 | (WILDCARD)                                  | blockWool,wool                                                                 |                                                                                                                                             |
| aquaculture:food                                |        0 | Seaweed                                     | cropSeaweed                                                                    |                                                                                                                                             |
| aquaculture:food                                |        3 | Raw Fish Fillet                             | listAllfishraw                                                                 |                                                                                                                                             |
| aquaculture:food                                |        4 | Cooked Fish Fillet                          | listAllfishcooked                                                              |                                                                                                                                             |
| aquaculture:neptunium_boots                     |    32767 | (WILDCARD)                                  | itemArmor,itemBoots                                                            |                                                                                                                                             |
| aquaculture:neptunium_chestplate                |    32767 | (WILDCARD)                                  | itemArmor,itemChestplate                                                       |                                                                                                                                             |
| aquaculture:neptunium_helmet                    |    32767 | (WILDCARD)                                  | itemArmor,itemHelmet                                                           |                                                                                                                                             |
| aquaculture:neptunium_leggings                  |    32767 | (WILDCARD)                                  | itemArmor,itemLeggings                                                         |                                                                                                                                             |
| armorunder:auto_chestplate_liner                |        0 | Ozzy Chestplate Liner                       | itemAutoregLining                                                              |                                                                                                                                             |
| armorunder:auto_leggings_liner                  |        0 | Ozzy Leggings Liner                         | itemAutoregLining                                                              |                                                                                                                                             |
| bountifulbaubles:enderdragonscale               |        0 | Ender Dragon Scale                          | scaleDragonEnder                                                               |                                                                                                                                             |
| bountifulbaubles:ringiron                       |        0 | Iron Ring                                   | ringIron                                                                       |                                                                                                                                             |
| charm:barrel                                    |    32767 | (WILDCARD)                                  | barrel                                                                         |                                                                                                                                             |
| charm:moonstone                                 |    32767 | (WILDCARD)                                  | moonstone                                                                      |                                                                                                                                             |
| chisel:andesite                                 |        0 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        1 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        2 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        3 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        4 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        5 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        6 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        7 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        8 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |        9 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       10 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       11 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       12 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       13 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       14 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite                                 |       15 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        0 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        1 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        2 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        3 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        4 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        5 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        6 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        7 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        8 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |        9 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       10 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       11 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       12 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       13 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       14 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite1                                |       15 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:andesite2                                |        0 | Andesite                                    | stoneAndesite,stoneAndesitePolished                                            |                                                                                                                                             |
| chisel:basalt                                   |        0 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        1 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        2 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        3 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        4 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        5 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        6 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        7 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        8 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |        9 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       10 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       11 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       12 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       13 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       14 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt                                   |       15 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        0 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        1 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        2 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        3 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        4 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        5 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        6 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        7 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        8 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt1                                  |        9 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        0 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        1 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        2 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        3 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        4 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        5 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        6 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:basalt2                                  |        7 | Basalt                                      | stoneBasalt,stoneBasaltPolished                                                |                                                                                                                                             |
| chisel:block_charcoal                           |        0 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
| chisel:block_charcoal                           |        1 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
| chisel:block_charcoal                           |        2 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
| chisel:block_charcoal                           |        3 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
| chisel:block_charcoal                           |        4 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
| chisel:block_charcoal                           |        5 | Block of Charcoal                           | blockCharcoal                                                                  |                                                                                                                                             |
