+------------------------------------+-------------------------------------------------+----------+---------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| OreDict Key                        | Registry name                                   | Meta/dmg | Display name                                | NBT                                                                                                                                         |
| blockAlubrass                      | tconstruct:metal                                |        5 | Block of Aluminum Brass                     |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        0 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        1 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        2 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        3 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        4 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        5 | Block of Aluminum                           |                                                                                                                                             |
| blockAluminum                      | chisel:blockaluminum                            |        6 | Block of Aluminum                           |                                                                                                                                             |
| blockArdite                        | tconstruct:metal                                |        1 | Block of Ardite                             |                                                                                                                                             |
| blockBlackDiamond                  | earthenbounty:black_diamond_block               |        0 | Block of Black Diamond                      |                                                                                                                                             |
| blockBone                          | minecraft:bone_block                            |        0 | Bone Block                                  |                                                                                                                                             |
| blockBrass                         | thaumcraft:metal_brass                          |        0 | Brass Block                                 |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        0 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        1 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        2 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        3 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        4 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        5 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | chisel:blockbronze                              |        6 | Block of Bronze                             |                                                                                                                                             |
| blockBronze                        | earthenbounty:bronze_block                      |        0 | Block of Bronze                             |                                                                                                                                             |
| blockCactus                        | minecraft:cactus                                |        0 | Cactus                                      |                                                                                                                                             |
| blockCactus                        | minecraft:cactus                                |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| blockCandle                        | quark:candle                                    |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        0 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        1 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        2 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        3 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        4 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        5 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        6 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        7 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        8 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |        9 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       10 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       11 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       12 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       13 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       14 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal                           |       15 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        0 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        1 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        2 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        3 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        4 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        5 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        6 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        7 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        8 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |        9 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       10 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       11 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       12 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       13 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       14 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal1                          |       15 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal2                          |        0 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | chisel:block_charcoal2                          |        1 | Block of Charcoal                           |                                                                                                                                             |
| blockCharcoal                      | quark:charcoal_block                            |        0 | Block of Charcoal                           |                                                                                                                                             |
| blockCheese                        | rats:block_of_cheese                            |        0 | Block of Cheese                             |                                                                                                                                             |
| blockClay                          | minecraft:clay                                  |    32767 | (WILDCARD)                                  |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        0 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        1 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        2 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        3 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        4 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        5 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        6 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        7 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        8 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |        9 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       10 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       11 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       12 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       13 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       14 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal                               |       15 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        0 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        1 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        2 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        3 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        4 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        5 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        6 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        7 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        8 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |        9 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       10 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       11 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       12 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       13 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       14 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal1                              |       15 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal2                              |        0 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | chisel:block_coal2                              |        1 | Block of Coal                               |                                                                                                                                             |
| blockCoal                          | minecraft:coal_block                            |        0 | Block of Coal                               |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        0 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        1 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        2 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        3 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        4 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        5 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        6 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        7 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        8 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |        9 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       10 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       11 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       12 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       13 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       14 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke                          |       15 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        0 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        1 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        2 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        3 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        4 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        5 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        6 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        7 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        8 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |        9 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       10 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       11 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       12 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       13 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       14 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke1                         |       15 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        0 | Block of Coal Coke                          |                                                                                                                                             |
| blockCoalCoke                      | chisel:block_coal_coke2                         |        1 | Block of Coal Coke                          |                                                                                                                                             |
