+----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------+
| ID                                                                   | Name                                                                                                                   | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                          |
| animania:animania/feed_goat_nigerian_dwarf                           | [Nigerian Dwarf]                                                                                                       | Feed a Nigerian Dwarf goat                                                                                                                                                                                                                                                                                                                                                                                       | animania:animania/feed_goat_kinder              |
| animania:animania/feed_goat_pygmy                                    | [Pygmy]                                                                                                                | Feed a Pygmy goat                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/feed_goat_nigerian_dwarf      |
| animania:animania/feed_hamster                                       | [Hamster]                                                                                                              | Feed a Hamster. So fluffy!                                                                                                                                                                                                                                                                                                                                                                                       | animania:animania/root                          |
| animania:animania/feed_hedgehog                                      | [Hedgehog]                                                                                                             | Feed a Hedgehog                                                                                                                                                                                                                                                                                                                                                                                                  | animania:animania/root                          |
| animania:animania/feed_hedgehog_albino                               | [Albino Hedgehog]                                                                                                      | Feed an Albino Hedgehog                                                                                                                                                                                                                                                                                                                                                                                          | animania:animania/feed_hedgehog                 |
| animania:animania/feed_horse_draft                                   | [Draft Horse]                                                                                                          | Feed a Draft Horse                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/root                          |
| animania:animania/feed_peafowl_blue                                  | [India Blue]                                                                                                           | Feed an India Blue peacock                                                                                                                                                                                                                                                                                                                                                                                       | animania:animania/peafowl                       |
| animania:animania/feed_peafowl_charcoal                              | [Charcoal]                                                                                                             | Feed a Charcoal peacock                                                                                                                                                                                                                                                                                                                                                                                          | animania:animania/feed_peafowl_blue             |
| animania:animania/feed_peafowl_opal                                  | [Opal]                                                                                                                 | Feed an Opal peacock                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_peafowl_charcoal         |
| animania:animania/feed_peafowl_peach                                 | [Peach]                                                                                                                | Feed a Peach peacock                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_peafowl_opal             |
| animania:animania/feed_peafowl_purple                                | [Purple]                                                                                                               | Feed a Purple peacock                                                                                                                                                                                                                                                                                                                                                                                            | animania:animania/feed_peafowl_peach            |
| animania:animania/feed_peafowl_taupe                                 | [Taupe]                                                                                                                | Feed a Taupe peacock                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_peafowl_purple           |
| animania:animania/feed_peafowl_white                                 | [White]                                                                                                                | Feed a White peacock                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_peafowl_taupe            |
| animania:animania/feed_pig_duroc                                     | [Duroc]                                                                                                                | Feed a Duroc pig                                                                                                                                                                                                                                                                                                                                                                                                 | animania:animania/pigs                          |
| animania:animania/feed_pig_hampshire                                 | [Hampshire]                                                                                                            | Feed a Hampshire pig                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_pig_duroc                |
| animania:animania/feed_pig_large_black                               | [Large Black]                                                                                                          | Feed a Large Black pig                                                                                                                                                                                                                                                                                                                                                                                           | animania:animania/feed_pig_hampshire            |
| animania:animania/feed_pig_large_white                               | [Large White]                                                                                                          | Feed a Large White pig                                                                                                                                                                                                                                                                                                                                                                                           | animania:animania/feed_pig_large_black          |
| animania:animania/feed_pig_old_spot                                  | [Old Spot]                                                                                                             | Feed an Old Spot pig                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_pig_large_white          |
| animania:animania/feed_pig_yorkshire                                 | [Yorkshire]                                                                                                            | Feed a Yorkshire pig                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_pig_old_spot             |
| animania:animania/feed_rabbit_chinchilla                             | [Chinchilla]                                                                                                           | Feed a Chinchilla rabbit                                                                                                                                                                                                                                                                                                                                                                                         | animania:animania/rabbits                       |
| animania:animania/feed_rabbit_cottontail                             | [Cottontail]                                                                                                           | Feed a Cottontail rabbit                                                                                                                                                                                                                                                                                                                                                                                         | animania:animania/feed_rabbit_chinchilla        |
| animania:animania/feed_rabbit_dutch                                  | [Dutch]                                                                                                                | Feed a Dutch rabbit                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_rabbit_cottontail        |
| animania:animania/feed_rabbit_havana                                 | [Havana]                                                                                                               | Feed a Havana rabbit                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_rabbit_dutch             |
| animania:animania/feed_rabbit_jack                                   | [Jack]                                                                                                                 | Feed a Jack rabbit                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/feed_rabbit_havana            |
| animania:animania/feed_rabbit_lop                                    | [Lop]                                                                                                                  | Feed a Lop rabbit                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/feed_rabbit_jack              |
| animania:animania/feed_rabbit_new_zealand                            | [New Zealand]                                                                                                          | Feed a New Zealand rabbit                                                                                                                                                                                                                                                                                                                                                                                        | animania:animania/feed_rabbit_lop               |
| animania:animania/feed_rabbit_rex                                    | [Rex]                                                                                                                  | Feed a Rex rabbit                                                                                                                                                                                                                                                                                                                                                                                                | animania:animania/feed_rabbit_new_zealand       |
| animania:animania/feed_sheep_dorper                                  | [Dorper]                                                                                                               | Feed a Dorper sheep                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/sheep                         |
| animania:animania/feed_sheep_dorset                                  | [Dorset]                                                                                                               | Feed a Dorset sheep                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_sheep_dorper             |
| animania:animania/feed_sheep_friesian                                | [Friesian]                                                                                                             | Feed a Friesian sheep                                                                                                                                                                                                                                                                                                                                                                                            | animania:animania/feed_sheep_dorset             |
| animania:animania/feed_sheep_jacob                                   | [Jacob]                                                                                                                | Feed a Jacob sheep                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/feed_sheep_friesian           |
| animania:animania/feed_sheep_merino                                  | [Merino]                                                                                                               | Feed a Merino sheep                                                                                                                                                                                                                                                                                                                                                                                              | animania:animania/feed_sheep_jacob              |
| animania:animania/feed_sheep_suffolk                                 | [Suffolk]                                                                                                              | Feed a Suffolk sheep                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_sheep_merino             |
| animania:animania/goats                                              | [Goats]                                                                                                                | Animania Goats                                                                                                                                                                                                                                                                                                                                                                                                   | animania:animania/root                          |
| animania:animania/horse_ride                                         | [Seabiscuit]                                                                                                           | Ride a Draft Horse                                                                                                                                                                                                                                                                                                                                                                                               | animania:animania/feed_horse_draft              |
| animania:animania/peafowl                                            | [Peafowl]                                                                                                              | Animania Peafowl                                                                                                                                                                                                                                                                                                                                                                                                 | animania:animania/root                          |
| animania:animania/pepe                                               | [Pepe]                                                                                                                 | A classic                                                                                                                                                                                                                                                                                                                                                                                                        | animania:animania/root                          |
| animania:animania/pigs                                               | [Pigs]                                                                                                                 | Animania Pigs                                                                                                                                                                                                                                                                                                                                                                                                    | animania:animania/root                          |
| animania:animania/rabbits                                            | [Rabbits]                                                                                                              | Animania Rabbits                                                                                                                                                                                                                                                                                                                                                                                                 | animania:animania/root                          |
| animania:animania/root                                               | [Animania]                                                                                                             | Animania, the realistic animals mod                                                                                                                                                                                                                                                                                                                                                                              | -                                               |
| animania:animania/sanic                                              | [No Go Fastr!!!]                                                                                                       | Cumon step it up!!!1                                                                                                                                                                                                                                                                                                                                                                                             | animania:animania/feed_hedgehog                 |
| animania:animania/sheep                                              | [Sheep]                                                                                                                | Animania Sheep                                                                                                                                                                                                                                                                                                                                                                                                   | animania:animania/root                          |
| animania:animania/sonic                                              | [Gotta Go Fast!]                                                                                                       | Discover Sonic                                                                                                                                                                                                                                                                                                                                                                                                   | animania:animania/feed_hedgehog                 |
| armorunder:recipes/misc/armor_cool_liners                            | armorunder:recipes/misc/armor_cool_liners                                                                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                         |
| armorunder:recipes/misc/armor_warm_liners                            | armorunder:recipes/misc/armor_warm_liners                                                                              | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                         |
| armorunder:recipes/misc/cool_liner_material                          | armorunder:recipes/misc/cool_liner_material                                                                            | <null>                                                                                                                                                                                                                                                                                                                                                                                                           | armorunder:recipes/root                         |
